metrado_id,obrero_id
7d522a6e-c1b2-4224-ba24-e64404a1a186,55336de9-c68f-4fb6-94c9-65dff685ffbe
a022a88d-0cff-4e94-bc7b-ed22b38eb70b,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
a022a88d-0cff-4e94-bc7b-ed22b38eb70b,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
a022a88d-0cff-4e94-bc7b-ed22b38eb70b,55336de9-c68f-4fb6-94c9-65dff685ffbe
83f4f492-1a7a-46c7-8f38-a95a41920e5f,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
83f4f492-1a7a-46c7-8f38-a95a41920e5f,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
83f4f492-1a7a-46c7-8f38-a95a41920e5f,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
83f4f492-1a7a-46c7-8f38-a95a41920e5f,55336de9-c68f-4fb6-94c9-65dff685ffbe
d345c8d5-8c54-4c36-b6fb-19206e485353,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
d345c8d5-8c54-4c36-b6fb-19206e485353,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
d345c8d5-8c54-4c36-b6fb-19206e485353,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
d345c8d5-8c54-4c36-b6fb-19206e485353,55336de9-c68f-4fb6-94c9-65dff685ffbe
ca7b64f1-b7c3-4aff-931c-68d8ad720591,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
ca7b64f1-b7c3-4aff-931c-68d8ad720591,88a7bfe5-fac0-4dc8-8d84-678a0867cf19
ca7b64f1-b7c3-4aff-931c-68d8ad720591,3c4a1b9d-edf8-4f0d-a5bd-73329a3a0e63
ca7b64f1-b7c3-4aff-931c-68d8ad720591,55336de9-c68f-4fb6-94c9-65dff685ffbe
afee1765-135c-403a-a517-6970b0644f77,62012740-1978-4e5b-9e13-c491705c0113
afee1765-135c-403a-a517-6970b0644f77,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
e5351e1c-01cc-4729-914a-413b45e9fa72,62012740-1978-4e5b-9e13-c491705c0113
e5351e1c-01cc-4729-914a-413b45e9fa72,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
2fa5cff0-9bba-43f3-b68d-15d3bb95e3e1,62012740-1978-4e5b-9e13-c491705c0113
2fa5cff0-9bba-43f3-b68d-15d3bb95e3e1,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
d4a9ccf7-af18-4256-ae73-c65fd4a1337f,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
657219aa-b747-400f-bb83-77e30cb15572,62012740-1978-4e5b-9e13-c491705c0113
657219aa-b747-400f-bb83-77e30cb15572,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
eaef8a3f-22b5-4eed-be43-1bcde7aa890e,62012740-1978-4e5b-9e13-c491705c0113
eaef8a3f-22b5-4eed-be43-1bcde7aa890e,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
465af7a5-c519-47e3-b6a0-19a4eae18568,62012740-1978-4e5b-9e13-c491705c0113
465af7a5-c519-47e3-b6a0-19a4eae18568,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
51c734a7-e8f1-4aa2-bff0-b9f218619e13,7086d7e0-faac-4ffc-b4b9-38f1c2b2449e
51c734a7-e8f1-4aa2-bff0-b9f218619e13,835d5d1d-bdc9-4c88-9141-d67a851df90f
4b37abb6-3b1e-4966-ba16-29dff39b0e85,7416ee0d-8ebd-41e2-8631-8787d6674549
4b37abb6-3b1e-4966-ba16-29dff39b0e85,9f71fc9b-5451-41e6-9e6b-e71db7729d8c
4b37abb6-3b1e-4966-ba16-29dff39b0e85,c825af8a-bcf4-4c90-8ea8-48f0f867dbe8
4b37abb6-3b1e-4966-ba16-29dff39b0e85,f114c45b-ac8f-43a7-82d4-7e8611c4f37d
4b37abb6-3b1e-4966-ba16-29dff39b0e85,ff2231a8-0ef3-4a53-a987-61b32f3deb74
0836b37b-b962-4df2-a772-de10c9773e50,8121d610-e918-4347-8a5c-4b131ec38e32
51c734a7-e8f1-4aa2-bff0-b9f218619e13,11162d9f-f078-4947-b692-15e931a19845
963c9b03-c1c2-4e7e-9ac4-2274bd36adf8,2b3e9f9c-62e0-4091-a5ab-89a8dde0bf4d
9af96fb7-78d2-452a-9381-61963b3c41dc,55bc18b0-24e4-4aa2-81fa-925dfdbc616c
9af96fb7-78d2-452a-9381-61963b3c41dc,249369ca-e264-4eb1-b42f-4aa9e0e12f6d
9af96fb7-78d2-452a-9381-61963b3c41dc,a35e0417-0fe9-4bed-9061-db14e9ef5d00
dfd4d46b-2ebc-41bd-bf07-95cf476f715c,f95651f1-bd48-4cbc-acdd-b0d361e1c189
963c9b03-c1c2-4e7e-9ac4-2274bd36adf8,60f8bc6c-1148-4037-b250-745342b146a9
cc73605b-4412-4002-ae84-c199520f0f9e,62012740-1978-4e5b-9e13-c491705c0113
cc73605b-4412-4002-ae84-c199520f0f9e,a39f38cb-624f-4136-8f3b-d9d7e8afa64c
a97af745-08d7-4f97-9c74-393bcb190a15,7fe7ea09-571f-4902-9447-27d8ddaa3ff3
dfd4d46b-2ebc-41bd-bf07-95cf476f715c,1ad1a319-b2e9-4d4a-945f-dd1d0d371eef
fa37688a-59bc-4a0a-990f-3753c1195a09,0d9efbd9-74af-431c-9067-7e1ff98266fd
c0c1051a-8d23-49bc-adfc-85e580b67124,5b7b87bf-6312-4e0f-86d2-4fa14ec6f1b5
2e9aa298-af55-4eb3-8cd8-efd8df605d5e,2d19e122-3df4-487d-9bb6-e1106e9b969f
a97af745-08d7-4f97-9c74-393bcb190a15,576800a8-665b-4415-9ad9-0b467d20a09c
2e9aa298-af55-4eb3-8cd8-efd8df605d5e,40f4df25-cff3-47f4-8ba0-75ba64eadfa6
275b3929-dba4-42e2-a6ac-c8e44fa9b7b6,e178dd7b-fe85-4644-9d87-b8640ac79070
a8832a53-eae1-44a3-b6df-2366b003c9b7,b6c12ca3-1052-4279-bf12-6edd1a175ef7
275b3929-dba4-42e2-a6ac-c8e44fa9b7b6,64ee37d9-2a1d-45ef-9a33-352f40d9c586
0a072f63-684e-4d74-8843-e59d81376ee0,9e3e4c3c-2155-48c4-9a24-0661ddc9df00
e0c33355-7a5c-48ea-a7e4-2ea43b7a7ef6,038be5bc-9d2c-4114-89b7-ff0ed7063050
e0c33355-7a5c-48ea-a7e4-2ea43b7a7ef6,f9867bcf-c40a-4b1a-bf60-04541298d4b6
